# civil-holidays v1
# jurisdiction: TH
# source: https://www.bot.or.th (Bank of Thailand holiday notifications) + Cabinet resolutions
#   PRIMARY-VERIFIED against the Bank of Thailand annual holiday notifications
#   (B.E. 2567/2568) and the Cabinet public-holiday resolutions. Fixed royal
#   and national days confirmed; Buddhist lunar days (Makha/Visakha/Asarnha
#   Bucha, Khao Phansa, Songkran) and substitute days modelled as decree.
#   Provenance: structure/dates originally derived from vacanza/holidays
#   0.101 (MIT) (github.com/vacanza/holidays); the PUBLIC set has now been
#   cross-checked against the primary instrument above and found to match.
#   Primary names are the jurisdiction's own official-language rendering;
#   English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar holidays with no closed-form rule are captured as
#   'decree' (explicit per-year dates) for 2024-2025 rather than fabricated;
#   workday-bridge ('moved from ...') entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school (+ vacanza-parity labels, see below)
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | วันขึ้นปีใหม่                      | 1 1                 | public          |  |  |  |
decree        | วันเด็กแห่งชาติ                    | 2024-1-13 2025-1-11 | public          |  |  |  |
decree        | วันมาฆบูชา                         | 2024-2-24 2025-2-12 | public          |  |  |  |
fixed         | วันพระบาทสมเด็จพระพุทธยอดฟ้าจุฬาโลกมหาราช และวันที่ระลึกมหาจักรีบรมราชวงศ์| 4 6                 | public          |  |  |  |
decree        | วันสงกรานต์                        | 2024-4-13 2024-4-14 2024-4-15 2025-4-13 2025-4-14 2025-4-15| public          |  |  |  |
decree        | ชดเชยวันสงกรานต์                   | 2024-4-16 2025-4-16 | public          |  |  |  |
fixed         | วันแรงงานแห่งชาติ                  | 5 1                 | public          |  |  |  |
fixed         | วันฉัตรมงคล                        | 5 4                 | public          |  |  |  |
decree        | วันหยุดพิเศษ (เพิ่มเติม)           | 2024-4-12 2024-12-30 2025-6-2 2025-8-11| public          |  |  |  |
decree        | วันวิสาขบูชา                       | 2024-5-22 2025-5-11 | public          |  |  |  |
fixed         | วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าสุทิดา พัชรสุธาพิมลลักษณ พระบรมราชินี| 6 3                 | public          |  |  |  |
decree        | ชดเชยวันวิสาขบูชา                  | 2025-5-12           | public          |  |  |  |
fixed         | วันเฉลิมพระชนมพรรษาพระบาทสมเด็จพระปรเมนทรรามาธิบดีศรีสินทรมหาวชิราลงกรณ พระวชิรเกล้าเจ้าอยู่หัว| 7 28                | public          |  |  |  |
decree        | วันอาสาฬหบูชา                      | 2024-7-20 2025-7-10 | public          |  |  |  |
decree        | วันเข้าพรรษา                       | 2024-7-21 2025-7-11 | public          |  |  |  |
fixed         | วันเฉลิมพระชนมพรรษาสมเด็จพระบรมราชชนนีพันปีหลวง| 8 12                | public          |  |  |  |
fixed         | วันแม่แห่งชาติ                     | 8 12                | public          |  |  |  |
fixed         | วันนวมินทรมหาราช                   | 10 13               | public          |  |  |  |
fixed         | วันปิยมหาราช                       | 10 23               | public          |  |  |  |
fixed         | วันคล้ายวันเฉลิมพระชนมพรรษาพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร| 12 5                | public          |  |  |  |
fixed         | วันชาติ                            | 12 5                | public          |  |  |  |
fixed         | วันพ่อแห่งชาติ                     | 12 5                | public          |  |  |  |
fixed         | วันรัฐธรรมนูญ                      | 12 10               | public          |  |  |  |
fixed         | วันสิ้นปี                          | 12 31               | public          |  |  |  |
decree        | ชดเชยวันมาฆบูชา                    | 2024-2-26           | public          |  |  |  |
decree        | ชดเชยวันพระบาทสมเด็จพระพุทธยอดฟ้าจุฬาโลกมหาราช และวันที่ระลึกมหาจักรีบรมราชวงศ์| 2024-4-8 2025-4-7   | public          |  |  |  |
decree        | ชดเชยวันฉัตรมงคล                   | 2024-5-6 2025-5-5   | public          |  |  |  |
decree        | ชดเชยวันอาสาฬหบูชา                 | 2024-7-22           | public          |  |  |  |
decree        | ชดเชยวันเฉลิมพระชนมพรรษาพระบาทสมเด็จพระปรเมนทรรามาธิบดีศรีสินทรมหาวชิราลงกรณ พระวชิรเกล้าเจ้าอยู่หัว| 2024-7-29           | public          |  |  |  |
decree        | ชดเชยวันนวมินทรมหาราช              | 2024-10-14          | public          |  |  |  |

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed | วันกองทัพไทย | 1 18 | armed_forces |  |
fixed | วันครู | 1 16 | school |  |

# --- vacanza/holidays 0.101 category parity, decree-tabulated
# (year-varying: Easter/lunar/Hijri-relative or ephemeral) -- gazetted
# 2024/2025 dates taken directly from vacanza/holidays 0.101 (MIT)
# `country_holidays(cc, categories=(...))` output, per the house rule
# that permits vacanza-derived data when flagged as such (retrieved
# 2026-07-22). ---
decree | วันพืชมงคล | 2024-5-10 2025-5-9 | government |  |
